questao,resposta,confianca,em_branco,ambigua,fill_A,fill_B,fill_C,fill_D,fill_E
01,B,0.9968,False,False,0.0616,0.9968,0.0016,0.0000,0.3112
02,D,0.9968,False,False,0.1359,0.0063,0.0016,0.9968,0.3128
03,D,1.0000,False,False,0.1248,0.1706,0.0000,1.0000,0.1754
04,C,0.9731,False,False,0.0521,0.0095,0.9731,0.0000,0.2796
05,A,1.0000,False,False,1.0000,0.0063,0.0000,0.0711,0.0442
06,E,1.0000,False,False,0.0000,0.0237,0.0174,0.0000,1.0000
07,B,0.9953,False,False,0.0205,0.9953,0.0079,0.0000,0.0047
08,B,0.9842,False,False,0.0174,0.9842,0.0284,0.0047,0.0506
09,B,1.0000,False,False,0.0205,1.0000,0.0000,0.0142,0.0585
10,C,0.9984,False,False,0.0774,0.0000,0.9984,0.0032,0.0458
